epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,28.0902,0.91408,4.75686,0.2843,0.89336,1.09687,0.813,0.9683,0.91389,0.31045,0.15964,0.11111,0.02326,0.00465,2.00698,7.75071,0.28118,1.61685,1.99436,0.000808828,0.000808828,0.000808828
28,28.993,0.99979,5.09671,0.32311,0.99017,1.18276,0.73691,1,0.90639,0.27116,0.15833,0.11111,0.01945,0.00194,2.0594,7.5749,0.23733,1.55616,2.02575,0.000775822,0.000775822,0.000775822
29,29.8877,0.97234,4.9093,0.32276,0.88397,1.10076,0.79608,0.86927,0.70833,0.28194,0.1311,0.11111,0.01674,0.00167,2.12086,7.68906,0.18939,1.68494,2.23749,0.000742815,0.000742815,0.000742815
30,30.7811,0.90483,4.81804,0.28451,0.88611,1.09153,0.80729,1,0.91389,0.29299,0,0,0,0,2.14686,7.73308,0.15747,1.84285,2.29053,0.000709809,0.000709809,0.000709809
31,31.6688,0.94446,4.94533,0.29774,0.98268,1.17849,0.87796,1,0.94,0.29351,0.09896,0.11111,0.01311,0.00131,2.09141,7.58145,0.15135,1.62552,2.21928,0.000676802,0.000676802,0.000676802
32,32.5929,0.88984,4.85589,0.29657,0.81896,1.08143,0.80598,1,0.89667,0.28788,0.08599,0.11111,0.01078,0.00108,2.02914,7.65838,0.15166,1.45658,2.13207,0.000643795,0.000643795,0.000643795
33,33.4961,0.84203,4.63107,0.33208,0.82628,1.06811,0.80638,1,0.90357,0.30542,0.00076,0.11111,0.00131,0.00013,1.91123,7.66438,0.16172,1.33236,2.02358,0.000610789,0.000610789,0.000610789
34,34.398,0.87227,4.48757,0.27221,0.81526,1.099,0.8899,1,0.94,0.38732,0,0,0,0,1.80736,7.61957,0.19628,1.27762,2.01635,0.000577782,0.000577782,0.000577782
35,35.2655,0.79069,4.53514,0.28803,0.79246,1.03537,0.80822,1,0.915,0.37652,0,0,0,0,1.82765,7.88162,0.25862,1.31797,2.12337,0.000544776,0.000544776,0.000544776
36,36.1141,0.90584,4.73745,0.33428,0.89379,1.11412,0.80677,1,0.91929,0.34392,0.00079,0.11111,0.00446,0.00045,1.88757,7.92787,0.33962,1.31845,2.16374,0.000511769,0.000511769,0.000511769
